Created|,Ready|,1.0,21:23:18.307692
Ready|,Reserved|,0.9894736842105263,11 days 5:41:46.686170
Ready|,Error|,0.005263157894736842,4:52:25
Ready|,InProgress|,0.005263157894736842,0:03:58
Reserved|,InProgress|,0.8882978723404256,23 days 20:36:18.173653
Reserved|,Completed|,0.026595744680851064,8 days 23:02:43.600000
Reserved|,Exited|,0.05851063829787234,17 days 5:03:34.545455
Reserved|,Ready|,0.026595744680851064,2 days 12:28:19.600000
InProgress|,Completed|,0.9526627218934911,120 days 9:57:23.099379
InProgress|,Exited|,0.04142011834319527,109 days 10:19:17.857143
InProgress|,Failed|,0.005917159763313609,0:56:16
Completed|,END|,0.9940119760479041,0:00:00
Completed|,InProgress|,0.005988023952095809,18:50:54
Exited|,END|,0.8421052631578947,0:00:00
Exited|,Ready|,0.10526315789473684,6 days 14:13:45.500000
Exited|,Completed|,0.05263157894736842,92 days 2:08:46
Error|,Ready|,1.0,0:00:21
Failed|,Exited|,1.0,10 days 0:07:01
